Date,Open,High,Low,Close,Volume
2024-01-01,192.52999877929688,228.4445047591721,162.53599536195202,192.8554261747231,52995368.0
2024-01-02,192.8554261747231,228.8580293967441,162.86274549519533,193.2662603042643,52523716.0
2024-01-03,193.2662603042643,229.17611881413563,163.34094407512606,193.6905259492322,52337508.0
2024-01-04,193.6905259492322,229.80994940871852,163.6502360715439,194.16774407532878,52942732.0
2024-01-05,194.16774407532878,230.4410365743079,164.02164682424547,194.66322016977455,53366416.0
2024-01-08,194.66322016977455,230.9917328747427,164.4584681071059,195.1500982098954,53119236.0
2024-01-09,195.1500982098954,231.54912969218887,164.89771593528394,195.6541296329653,53669072.0
2024-01-10,195.6541296329653,232.07401576506996,165.3606249763389,196.14155019202227,52915576.0
2024-01-11,196.14155019202227,232.70889102922266,165.75288202855737,196.6547594020801,53101408.0
2024-01-12,196.6547594020801,233.36788512947194,166.16014260254093,197.180282795415,53081356.0
2024-01-15,197.180282795415,233.96732322864284,166.61130011012165,197.69522263468264,52831568.0
2024-01-16,197.69522263468264,234.57330993101095,167.0398758563266,198.19951159107885,52688872.0
2024-01-17,198.19951159107885,235.202559182692,167.48582488666275,198.75475133078183,53608608.0
2024-01-18,198.75475133078183,235.83059341512697,167.94192079947075,199.26991720313933,53090268.0
2024-01-19,199.26991720313933,236.2909888729402,168.46471525672447,199.76268729830434,52604524.0
2024-01-22,199.76268729830434,236.97614443688067,168.8173354261997,200.26603468578796,53078524.0
2024-01-23,200.26603468578796,237.53273278716716,169.25594494471008,200.75210060592664,53275696.0
2024-01-24,200.75210060592664,238.00716459026395,169.73148452510563,201.22982151412685,53473400.0
2024-01-25,201.22982151412685,238.56059169609574,170.1422740316059,201.70589657184433,53345656.0
2024-01-26,201.70589657184433,239.23529989300457,170.4722425106437,202.19031150604275,53267164.0
2024-01-29,202.19031150604275,239.76698884156028,170.90005626489196,202.6615003373282,53251520.0
2024-01-30,202.6615003373282,240.2893241123966,171.3200528096159,203.12876213785864,53011848.0
2024-01-31,203.12876213785864,240.80131933260796,171.74011660446098,203.59128970925013,52853540.0
2024-02-01,203.59128970925013,241.42357744899158,172.0976651609939,204.07765996826967,53237200.0
2024-02-02,204.07765996826967,241.99340310818533,172.51835077124178,204.57066593293712,53660476.0
2024-02-05,204.57066593293712,242.60833837795502,172.93220693429657,205.08705480831787,53449132.0
2024-02-06,205.08705480831787,243.25827248012166,173.33683297871414,205.5986351112554,52849712.0
2024-02-07,205.5986351112554,243.89760715309941,173.75623785352278,206.12359910593102,53006792.0
2024-02-08,206.12359910593102,244.4922323964719,174.23071140256428,206.66268087501416,53447400.0
2024-02-09,206.66268087501416,245.11552665837786,174.68585447341405,207.1889082137443,52973340.0
2024-02-12,207.1889082137443,245.77133760260588,175.1168777710256,207.72689840218936,53265840.0
2024-02-13,207.72689840218936,246.334107231612,175.58943663051974,208.2237179892583,52711992.0
2024-02-14,208.2237179892583,246.93944588661418,176.02435702335166,208.75315072481976,52917492.0
2024-02-15,208.75315072481976,247.51026360649763,176.5068682806876,209.2771359130252,52088440.0
2024-02-16,209.2771359130252,248.15100798739886,176.93169096999247,209.79729709874118,51739500.0
2024-02-19,209.79729709874118,248.87269188214532,177.3175873574763,210.34353585085995,52387848.0
2024-02-20,210.34353585085995,249.57896278129667,177.7521073004949,210.90824775191638,52826028.0
2024-02-21,210.90824775191638,250.2300023836284,178.2308226967013,211.46019495971268,52635436.0
2024-02-22,211.46019495971268,250.7834390314665,178.73210793116917,211.96922049968563,52097084.0
2024-02-23,211.96922049968563,251.3518587956203,179.1903637311573,212.48288263699348,52444532.0
