epoch,train_loss,val_loss,grad_norm
1,3.29260039337195,2.097169208526611,2.0268229367648676
2,1.5707250016295258,1.0099352200826008,4.482981700989211
3,1.2853143246610832,0.8777292092641195,4.1140385287367645
4,1.1946523298787917,0.8785361973444621,3.9597517804700844
5,1.1364569090186976,0.8881534838676453,3.7886591607734705
6,1.1053105795115137,0.8787350765864055,3.7621856263979456
7,1.0834858743324156,0.8414783072471619,3.8273772943441506
8,1.0681315225803585,0.8600447495778402,3.818534698440331
9,1.0584402887000914,0.8896454866727194,3.958499640820494
10,1.0493928100135166,0.8454242841402689,4.219228661558636
